Title,URL,Document ID,Authors,Conference/Journal,Year,Code Link,Code Context
Foundation Models for Transportation Intelligence: ITS Convergence in TransVerse,https://ieeexplore.ieee.org/document/10044573/,10044573,Chen Zhao; Xingyuan Dai; Yisheng Lv; Yonglin Tian; Yuhai Ren; Fei-Yue Wang; ; ; ; ; ; ,IEEE Intelligent Systems,2022,,
Dynamic Differential Pricing of High-Speed Railway Based on Improved GBDT Train Classification and Bootstrap Time Node Determination,https://ieeexplore.ieee.org/document/9529064/,9529064,Yun Jing; Siye Guo; Fangqiu Chen; Xuan Wang; Kaixuan Li; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Route Planning to Increase Transportation Efficiency: A Case Study of ABC Company Limited,https://ieeexplore.ieee.org/document/9786454/,9786454,Wasan Kanlaya; Phuwadon Waiyanet; Dhippayachut Sirisingh; ; ; ,2022 7th International Conference on Business and Industrial Research (ICBIR),2022,,
Pre-Predictive Congestion-Based Data Allocation for Sixth Generation Cooperative Intelligent Transportation Systems,https://ieeexplore.ieee.org/document/9899366/,9899366,Gunasekaran Manogaran; Ibrahim Alrayes; Amani Alshaikhi; Danda B. Rawat; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Optimal Facility Location and Network Design in Hazardous Materials Transportation via Lane Reservation,https://ieeexplore.ieee.org/document/10101466/,10101466,Yifan Yue; Xinyi Zhang; Peng Wu; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Decision Support System for Mobility and Transportation Management in Large Sport Events,https://ieeexplore.ieee.org/document/9859761/,9859761,Alessandro Polo; Paolo Rocca; ; ,"2022 IEEE International Workshop on Sport, Technology and Research (STAR)",2022,,
Stability and bifurcations in transportation networks with heterogeneous users,https://ieeexplore.ieee.org/document/9993040/,9993040,Leonardo Cianfanelli; Giacomo Como; Tommaso Toso; ; ; ,2022 IEEE 61st Conference on Decision and Control (CDC),2022,,
Real-time Vehicle Detection System for Intelligent Transportation using Machine Learning,https://ieeexplore.ieee.org/document/9955329/,9955329,Ruitao Wu; Ziaur Chowdhury; Gustavo Velasquez Sanchez; Xin Gao; Cesar Villa; Xunfei Jiang; ; ; ; ; ; ,2022 IEEE Green Energy and Smart System Systems (IGESSC),2022,https://github.com/tzutalin/labelImg,"e, 2015.
[Online]. Available: https://github.com/tzutalin/labelImg
[14] M. Ester, H.-P. Kriegel,"
A Resilience-Based Routing Planning and Scheduling Model for Post-Disaster Transportation Network Recovery with Multiple Repair Teams,https://ieeexplore.ieee.org/document/10067487/,10067487,Yanan Cheng; Zilin Zhang; ; ,2022 4th International Conference on System Reliability and Safety Engineering (SRSE),2022,,
A SISO Y-Shape 5G Antenna for Intelligent Transportation Systems,https://ieeexplore.ieee.org/document/9936517/,9936517,Kaushal Mukherjee; Sahadev Roy; Subhadeep Mukhopadhyay; ; ; ,"2022 Second International Conference on Computer Science, Engineering and Applications (ICCSEA)",2022,,
"Tiebreaker Vogel’s Approximation Method, a Systematic Approach to improve the Initial Basic Feasible Solution of Transportation Problems",https://ieeexplore.ieee.org/document/9794502/,9794502,Spencer Madamedon; Elon S. Correa; Paulo J. G. Lisboa; ; ; ,2022 IEEE 12th Symposium on Computer Applications & Industrial Electronics (ISCAIE),2022,,
Optimal mass transportation for noise minimization problem around an airport,https://ieeexplore.ieee.org/document/9800744/,9800744,Mamadou Barry; Coumba Diallo; Babacar Mbaye Ndiaye; ; ; ,"2022 11th International Symposium on Signal, Image, Video and Communications (ISIVC)",2022,,
Link Flow Estimation for Parallel Transportation Management,https://ieeexplore.ieee.org/document/9998959/,9998959,Qiang Li; Runmeng Wang; ; ,2022 IEEE 2nd International Conference on Digital Twins and Parallel Intelligence (DTPI),2022,,
Research on the Policy of Transportation Data Management Based on PMC Index,https://ieeexplore.ieee.org/document/10143745/,10143745,Yuanyuan Shi; Feng Jian; Mingchen Gu; ; ; ,2022 3rd International Conference on Computer Science and Management Technology (ICCSMT),2022,,
Bus Transportation Network Optimization in Competition of Two Bus Companies Starting with Similar/Different Routes,https://ieeexplore.ieee.org/document/9905767/,9905767,R. Zhou; N. Yatsu; ; ,2022 61st Annual Conference of the Society of Instrument and Control Engineers (SICE),2022,,
"Health management of coal storage, transportation and loading equipment based on predictive maintenance with vibration perception",https://ieeexplore.ieee.org/document/9950096/,9950096,Yajing Xiao; Hui Wu; Yaodong Zhang; Shiji Yao; ; ; ; ,"2022 2nd International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)",2022,,
Design of Autonomous Obstacle Avoidance System for Automobiles based on Machine Learning in the Context of Intelligent Transportation,https://ieeexplore.ieee.org/document/10029051/,10029051,Wu Yangming; ,"2022 International Conference on Automation, Computing and Renewable Systems (ICACRS)",2022,,
Cluster Analysis of Trip Purpose Based on Residents’ Travel Characteristic,https://ieeexplore.ieee.org/document/10101395/,10101395,Huang Wei; Gong Lei; Luo Qin; Lei Tian; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Light-Field Imaging Reconstruction Using Deep Learning Enabling Intelligent Autonomous Transportation System,https://ieeexplore.ieee.org/document/9442895/,9442895,Juan Casavílca Silva; Muhammad Saadi; Lunchakorn Wuttisittikulkij; Davi Ribeiro Militani; Renata Lopes Rosa; Demóstenes Zegarra Rodríguez; Sattam Al Otaibi; ; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Dynamics Analysis of Railway Piggyback Transportation Vehicle in Piggyback Transportation System,https://ieeexplore.ieee.org/document/9853476/,9853476,Chen Li; Yinchuan He; ; ,2022 International Conference on Computer Engineering and Artificial Intelligence (ICCEAI),2022,,
Digital Twins-Based Automated Pilot for Energy-Efficiency Assessment of Intelligent Transportation Infrastructure,https://ieeexplore.ieee.org/document/9762892/,9762892,Zhen Tu; Liang Qiao; Robert Nowak; Haibin Lv; Zhihan Lv; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Intelligent system in the management and control of transportation companies: A systematic review,https://ieeexplore.ieee.org/document/9874549/,9874549,Mauro Raul Lopez-Noa; Hugo Eladio Chumpitaz-Caycho; Ericka Nelly Espinoza-Gamboa; Manuel Alberto Espinoza-Cruz; Franklin Cordova-Buiza; ; ; ; ; ,2022 IEEE International Conference on Smart Internet of Things (SmartIoT),2022,,
Urban Air Mobility (UAM) and Total Mobility Innovation Framework and Analysis Case Study: Boston Area Digital Twin and Economic Analysis,https://ieeexplore.ieee.org/document/9925865/,9925865,Sarasina Tuchen; Dawn LaFrance-Linden; Brian Hanley; Jason Lu; Seamus McGovern; Max Litvack-Winkler; ; ; ; ; ; ,2022 IEEE/AIAA 41st Digital Avionics Systems Conference (DASC),2022,,
A Model for Relief Transportation Network in Disaster Management,https://ieeexplore.ieee.org/document/10079783/,10079783,Binju K Biji; Swapnesh S; ; ,2022 Second International Conference on Next Generation Intelligent Systems (ICNGIS),2022,,
